Gene,Num_Protected_Comorbidities,Protected_Comorbidities,Median_RR,Max_CI_Upper
ENSG00000148175.12,2,"Alopecia Areata, Hidradenitis Suppurativa",0.41269841269841273,0.9762865316333145
ENSG00000160111.12,2,"Alopecia Areata, Scoliosis",0.25749559082892415,0.98597596646494
ENSG00000162714.12,2,"Atrioventricular Septal Defect, Ventricular Septal Defect",0.3906341977259349,0.8604839335198485
ENSG00000262187.1,2,"Eustachian Tube Disorder, Otitis Media, Susceptibility To",0.4727285693909571,0.9866682952317557
ENSG00000162444.11,2,"Atrioventricular Septal Defect, Ventricular Septal Defect",0.4725570228091236,0.9911111158033156
ENSG00000196591.11,2,"Astigmatism, Patent Foramen Ovale",0.4201306969254391,0.9102780579988365
ENSG00000104824.16,2,"Hashimoto Thyroiditis, Celiac Disease",0.23185483870967744,0.920376474673152
ENSG00000128564.6,2,"Atrioventricular Septal Defect, Ventricular Septal Defect",0.5326358867246321,0.9802291625754981
ENSG00000104408.9,2,"Hashimoto Thyroiditis, Celiac Disease",0.3777372262773722,0.9618427188053772
ENSG00000104388.14,2,"Astigmatism, Patent Foramen Ovale",0.43530583214793744,0.9844887864887224
ENSG00000261240.1,2,"Celiac Disease, Obstructive Sleep Apnea Syndrome",0.5252100840336134,0.9647219663820757
ENSG00000261324.2,2,"Hashimoto Thyroiditis, Psoriasis",0.3645833333333333,0.9856733881456572
ENSG00000119906.11,2,"Atrioventricular Septal Defect, Ventricular Septal Defect",0.5212301587301587,0.9679173176114074
ENSG00000142798.17,2,"Patent Ductus Arteriosus, Patent Foramen Ovale",0.5160883892227176,0.9439856335576079
ENSG00000260126.1,2,"Patent Foramen Ovale, Pulmonary Hypertension",0.171719621634732,0.8877561864687232
ENSG00000129465.15,2,"Atrioventricular Septal Defect, Ventricular Septal Defect",0.40242741186137415,0.8316293379321785
ENSG00000227775.3,2,"Atrioventricular Septal Defect, Ventricular Septal Defect",0.5238478644275745,0.99955546688909
ENSG00000181585.3,2,"Eustachian Tube Disorder, Otitis Media, Susceptibility To",0.4363214185195609,0.9710477239071635
ENSG00000162188.5,2,"Hidradenitis Suppurativa, Sleep Apnea Syndrome",0.42144597217060986,0.9549770398807739
ENSG00000103353.15,2,"Psoriasis, Scoliosis",0.2150063051702396,0.8551141955123845
ENSG00000198168.8,2,"Hashimoto Thyroiditis, Celiac Disease",0.3488624052004334,0.8880562594230016
ENSG00000170873.18,2,"Folliculitis, Hidradenitis Suppurativa",0.39727564102564106,0.975587408092721
ENSG00000104884.14,2,"Hashimoto Thyroiditis, Celiac Disease",0.36226312387303095,0.9526821652376005
ENSG00000227945.1,2,"Obstructive Sleep Apnea Syndrome, Otitis Media, Susceptibility To",0.6104205900816071,0.9800169189790627
ENSG00000182168.14,2,"Celiac Disease, Psoriasis",0.33362598770851626,0.900782418082243
